title,score,episode,aired,user
Kidou Senshi Gundam: Suisei no Majo,7.89,TV (12 eps),Oct 2022 - Jan 2023,"138,333 members"
Kotonoha no Niwa,7.89,Movie (1 eps),May 2013 - May 2013,"840,327 members"
Macross F,7.89,TV (25 eps),Apr 2008 - Sep 2008,"144,855 members"
One Piece Film: Gold,7.89,Movie (1 eps),Jul 2016 - Jul 2016,"207,759 members"
Quanzhi Gaoshou 2,7.89,ONA (12 eps),Sep 2020 - Dec 2020,"115,198 members"
Saiunkoku Monogatari,7.89,TV (39 eps),Apr 2006 - Feb 2007,"94,254 members"
School Rumble,7.89,TV (26 eps),Oct 2004 - Mar 2005,"323,000 members"
Aria the Avvenire,7.89,Special (3 eps),Sep 2015 - Sep 2015,"27,017 members"
BanG Dream! Film Live 2nd Stage,7.89,Movie (1 eps),Aug 2021 - Aug 2021,"6,667 members"
Bishoujo Senshi Sailor Moon S,7.89,TV (38 eps),Mar 1994 - Feb 1995,"143,445 members"
Densetsu Kyojin Ideon: Hatsudou-hen,7.89,Movie (1 eps),Jul 1982 - Jul 1982,"9,765 members"
Drifters,7.89,TV (12 eps),Oct 2016 - Dec 2016,"552,809 members"
ef: A Tale of Memories.,7.89,TV (12 eps),Oct 2007 - Dec 2007,"252,517 members"
Free! Eternal Summer: Kindan no All Hard!,7.89,Special (1 eps),Mar 2015 - Mar 2015,"92,601 members"
Higurashi no Naku Koro ni,7.89,TV (26 eps),Apr 2006 - Sep 2006,"789,664 members"
Ie Naki Ko Remy,7.89,TV (23 eps),Sep 1996 - Mar 1997,"20,202 members"
JoJo no Kimyou na Bouken (TV),7.89,TV (26 eps),Oct 2012 - Apr 2013,"1,604,835 members"
Tennis no Oujisama: Zenkoku Taikai-hen,7.89,OVA (13 eps),Mar 2006 - Mar 2007,"45,587 members"
Tonikaku Kawaii,7.89,TV (12 eps),Oct 2020 - Dec 2020,"711,147 members"
Ushio to Tora (TV) 2nd Season,7.89,TV (13 eps),Apr 2016 - Jun 2016,"130,034 members"
Space☆Dandy,7.88,TV (13 eps),Jan 2014 - Mar 2014,"347,115 members"
Summer Ghost,7.88,Movie (1 eps),Nov 2021 - Nov 2021,"94,396 members"
Tennis no Oujisama: Zenkoku Taikai-hen - Semifinal,7.88,OVA (6 eps),Jun 2007 - Jan 2008,"36,653 members"
Terra e... (TV),7.88,TV (24 eps),Apr 2007 - Sep 2007,"61,021 members"
Kami nomi zo Shiru Sekai II,7.88,TV (12 eps),Apr 2011 - Jun 2011,"384,329 members"
Les Misérables: Shoujo Cosette,7.88,TV (52 eps),Jan 2007 - Dec 2007,"28,664 members"
Megalo Box,7.88,TV (13 eps),Apr 2018 - Jun 2018,"496,014 members"
"Natsu e no Tunnel, Sayonara no Deguchi",7.88,Movie (1 eps),Sep 2022 - Sep 2022,"104,385 members"
One Piece: Episode of East Blue - Luffy to 4-nin no Nakama no Daibouken,7.88,Special (1 eps),Aug 2017 - Aug 2017,"39,577 members"
Ookiku Furikabutte,7.88,TV (25 eps),Apr 2007 - Sep 2007,"98,962 members"
Osomatsu-san Movie,7.88,Movie (1 eps),Mar 2019 - Mar 2019,"14,763 members"
Shijou Saikyou no Deshi Kenichi OVA,7.88,OVA (11 eps),Mar 2012 - May 2014,"56,441 members"
Shingeki no Kyojin OVA,7.88,OVA (3 eps),Dec 2013 - Aug 2014,"449,398 members"
Boku no Hero Academia,7.88,TV (13 eps),Apr 2016 - Jun 2016,"2,931,020 members"
Code Geass: Hangyaku no Lelouch I - Koudou,7.88,Movie (1 eps),Oct 2017 - Oct 2017,"98,288 members"
Death Billiards,7.88,Movie (1 eps),Mar 2013 - Mar 2013,"235,348 members"
Detective Conan Movie 02: The Fourteenth Target,7.88,Movie (1 eps),Apr 1998 - Apr 1998,"62,421 members"
Heartcatch Precure!,7.88,TV (49 eps),Feb 2010 - Jan 2011,"31,181 members"
Hoozuki no Reitetsu 2nd Season,7.88,TV (13 eps),Oct 2017 - Dec 2017,"46,155 members"
Hug tto! Precure,7.88,TV (49 eps),Feb 2018 - Jan 2019,"15,965 members"
Jigoku Shoujo Futakomori,7.88,TV (26 eps),Oct 2006 - Apr 2007,"158,927 members"
5-toubun no Hanayome Movie,7.87,Movie (1 eps),May 2022 - May 2022,"219,544 members"
Berserk: Ougon Jidai-hen - Memorial Edition,7.87,TV (13 eps),Oct 2022 - Dec 2022,"35,304 members"
Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,7.87,Movie (1 eps),Jun 2012 - Jun 2012,"207,249 members"
Carnival Phantasm,7.87,OVA (12 eps),Aug 2011 - Dec 2011,"193,937 members"
Cool Doji Danshi,7.87,TV (24 eps),Oct 2022 - Mar 2023,"82,751 members"
Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,7.87,Movie (1 eps),Feb 1988 - Feb 1988,"38,198 members"
Golden Kamuy,7.87,TV (12 eps),Apr 2018 - Jun 2018,"372,705 members"
Hibike! Euphonium: Ensemble Contest-hen,7.87,Movie (1 eps),Aug 2023 - Aug 2023,"11,358 members"
High☆Speed! Movie: Free! Starting Days,7.87,Movie (1 eps),Dec 2015 - Dec 2015,"91,267 members"
Top wo Nerae! Gunbuster,7.87,OVA (6 eps),Oct 1988 - Jul 1989,"123,640 members"
Umibe no Étranger,7.87,Movie (1 eps),Sep 2020 - Sep 2020,"165,283 members"
Zan Sayonara Zetsubou Sensei,7.87,TV (13 eps),Jul 2009 - Sep 2009,"105,649 members"
Kidou Senshi Gundam: Suisei no Majo - Prologue,7.87,Special (1 eps),Jul 2022 - Jul 2022,"41,504 members"
Mahou Shoujo Lyrical Nanoha: The Movie 1st,7.87,Movie (1 eps),Jan 2010 - Jan 2010,"30,779 members"
Musekinin Kanchou Tylor,7.87,TV (26 eps),Jan 1993 - Jul 1993,"48,543 members"
Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu,7.87,OVA (1 eps),Apr 2009 - Apr 2009,"166,229 members"
Quanzhi Gaoshou,7.87,ONA (12 eps),Apr 2017 - Jun 2017,"361,602 members"
Shingeki no Kyojin Movie 2: Jiyuu no Tsubasa,7.87,Movie (1 eps),Jun 2015 - Jun 2015,"124,451 members"
Lupin III vs. Detective Conan: The Movie,7.86,Movie (1 eps),Dec 2013 - Dec 2013,"31,608 members"
Lupin the IIIrd: Chikemuri no Ishikawa Goemon,7.86,Movie (1 eps),Feb 2017 - Feb 2017,"38,757 members"
Machikado Mazoku: 2-choume,7.86,TV (12 eps),Apr 2022 - Jul 2022,"64,269 members"
Magic Kaito 1412,7.86,TV (24 eps),Oct 2014 - Mar 2015,"121,641 members"
Mushoku Tensei: Isekai Ittara Honki Dasu - Eris no Goblin Toubatsu,7.86,Special (1 eps),Mar 2022 - Mar 2022,"153,594 members"
