title,score,episode,aired,user
New Initial D Movie: Legend 2 - Tousou,7.80,Movie (1 eps),May 2015 - May 2015,"29,379 members"
Nodame Cantabile: Finale - Mine to Kiyora no Saikai,7.80,Special (1 eps),Apr 2010 - Apr 2010,"43,632 members"
Princess Connect! Re:Dive Season 2,7.80,TV (12 eps),Jan 2022 - Mar 2022,"120,995 members"
Saint☆Oniisan (Movie),7.80,Movie (1 eps),May 2013 - May 2013,"94,098 members"
Baby Steps,7.80,TV (25 eps),Apr 2014 - Sep 2014,"144,776 members"
Beastars 2nd Season,7.80,TV (12 eps),Jan 2021 - Mar 2021,"424,198 members"
City Hunter 3,7.80,TV (13 eps),Oct 1989 - Jan 1990,"21,024 members"
Detective Conan Movie 07: Crossroad in the Ancient Capital,7.80,Movie (1 eps),Apr 2003 - Apr 2003,"50,707 members"
Inu-Ou,7.80,Movie (1 eps),May 2022 - May 2022,"24,193 members"
InuYasha Movie 3: Tenka Hadou no Ken,7.80,Movie (1 eps),Dec 2003 - Dec 2003,"99,763 members"
Jormungand,7.80,TV (12 eps),Apr 2012 - Jun 2012,"354,060 members"
Tunshi Xingkong 3rd Season,7.80,ONA (33 eps),Sep 2022 - Apr 2023,439 members
Wolf's Rain,7.80,TV (26 eps),Jan 2003 - Jul 2003,"322,498 members"
Wu Shan Wu Xing (2020),7.80,ONA (3 eps),Jul 2020 - Aug 2020,"54,046 members"
Taishou Otome Otogibanashi,7.79,TV (12 eps),Oct 2021 - Dec 2021,"135,864 members"
The Last: Naruto the Movie,7.79,Movie (1 eps),Dec 2014 - Dec 2014,"589,016 members"
Tokyo Ghoul,7.79,TV (12 eps),Jul 2014 - Sep 2014,"2,741,009 members"
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 2 - Tamashii,7.79,Movie (1 eps),Apr 2017 - Apr 2017,"14,224 members"
Kekkai Sensen & Beyond,7.79,TV (12 eps),Oct 2017 - Dec 2017,"425,826 members"
Last Exile,7.79,TV (26 eps),Apr 2003 - Sep 2003,"171,948 members"
New Initial D Movie: Legend 1 - Kakusei,7.79,Movie (1 eps),Aug 2014 - Aug 2014,"36,553 members"
Psycho-Pass 3: First Inspector,7.79,ONA (3 eps),Mar 2020 - Mar 2020,"92,639 members"
Seikai no Senki II,7.79,TV (10 eps),Jul 2001 - Sep 2001,"23,393 members"
Shadows House,7.79,TV (13 eps),Apr 2021 - Jul 2021,"236,640 members"
Coquelicot-zaka kara,7.79,Movie (1 eps),Jul 2011 - Jul 2011,"195,326 members"
Detective Conan Movie 09: Strategy Above the Depths,7.79,Movie (1 eps),Apr 2005 - Apr 2005,"48,599 members"
Digimon Adventure: Bokura no War Game!,7.79,Movie (1 eps),Mar 2000 - Mar 2000,"76,990 members"
Emiya-san Chi no Kyou no Gohan,7.79,ONA (13 eps),Jan 2018 - Jan 2019,"127,797 members"
Giant Robo the Animation: Chikyuu ga Seishi Suru Hi,7.79,OVA (7 eps),Jul 1992 - Jan 1998,"26,185 members"
Ginga Tetsudou 999,7.79,TV (113 eps),Sep 1978 - Mar 1981,"36,581 members"
Jungle wa Itsumo Hare nochi Guu Deluxe,7.79,OVA (6 eps),Aug 2002 - Jan 2003,"12,331 members"
Akage no Anne,7.78,TV (50 eps),Jan 1979 - Dec 1979,"31,813 members"
Aria the Crepuscolo,7.78,Movie (1 eps),Mar 2021 - Mar 2021,"11,744 members"
Break Blade Movie 3: Kyoujin no Ato,7.78,Movie (1 eps),Sep 2010 - Sep 2010,"58,515 members"
"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen",7.78,Special (1 eps),Jul 2009 - Jul 2009,"260,174 members"
Code Geass: Hangyaku no Lelouch R2 Special Edition - Zero Requiem,7.78,OVA (1 eps),Jul 2009 - Jul 2009,"48,126 members"
Crayon Shin-chan,7.78,TV (? eps),Apr 1992 -,"81,152 members"
Date A Live IV,7.78,TV (12 eps),Apr 2022 - Jun 2022,"235,315 members"
Detective Conan Movie 12: Full Score of Fear,7.78,Movie (1 eps),Apr 2008 - Apr 2008,"46,243 members"
Fate/Grand Carnival,7.78,OVA (4 eps),Dec 2020 - Oct 2021,"52,318 members"
Gochuumon wa Usagi desu ka??,7.78,TV (12 eps),Oct 2015 - Dec 2015,"128,399 members"
Gochuumon wa Usagi desu ka?? Dear My Sister,7.78,Movie (1 eps),Nov 2017 - Nov 2017,"40,885 members"
Heike Monogatari,7.78,TV (11 eps),Jan 2022 - Mar 2022,"76,209 members"
Hoozuki no Reitetsu,7.78,TV (13 eps),Jan 2014 - Apr 2014,"129,056 members"
Innocence,7.78,Movie (1 eps),Mar 2004 - Mar 2004,"158,740 members"
Jin-Rou,7.78,Movie (1 eps),Jun 2000 - Jun 2000,"173,143 members"
Yi Nian Yong Heng: Chuan Cheng Pian,7.78,ONA (54 eps),Jul 2022 - Jul 2023,"5,413 members"
Kara no Kyoukai Movie 2: Satsujin Kousatsu (Zen),7.78,Movie (1 eps),Dec 2007 - Dec 2007,"236,492 members"
Kochira Katsushikaku Kameari Kouenmae Hashutsujo,7.78,TV (373 eps),Jun 1996 - Dec 2004,"18,075 members"
Macross F Movie 1: Itsuwari no Utahime,7.78,Movie (1 eps),Nov 2009 - Nov 2009,"30,523 members"
Magic Kaito,7.78,Special (12 eps),Apr 2010 - Dec 2012,"70,850 members"
Mind Game,7.78,Movie (1 eps),Aug 2004 - Aug 2004,"83,733 members"
Saiyuuki Gaiden,7.78,OVA (3 eps),Mar 2011 - Nov 2011,"13,492 members"
Seitokai Yakuindomo Movie 2,7.78,Movie (1 eps),Jan 2021 - Jan 2021,"30,930 members"
Shin Kidou Senki Gundam Wing: Endless Waltz Special,7.78,Movie (1 eps),Aug 1998 - Aug 1998,"58,942 members"
Sonny Boy,7.78,TV (12 eps),Jul 2021 - Oct 2021,"291,307 members"
Kidou Senshi Gundam,7.77,TV (43 eps),Apr 1979 - Jan 1980,"129,395 members"
Kumichou Musume to Sewagakari,7.77,TV (12 eps),Jul 2022 - Sep 2022,"202,589 members"
Love Live! School Idol Project 2nd Season,7.77,TV (13 eps),Apr 2014 - Jun 2014,"254,381 members"
Lupin III: Part II,7.77,TV (155 eps),Oct 1977 - Oct 1980,"33,976 members"
Lupin the Third: Mine Fujiko to Iu Onna,7.77,TV (13 eps),Apr 2012 - Jun 2012,"62,104 members"
Saraiya Goyou,7.77,TV (12 eps),Apr 2010 - Jul 2010,"91,076 members"
Sekaiichi Hatsukoi: Valentine-hen,7.77,Movie (1 eps),Mar 2014 - Mar 2014,"40,710 members"
